repository name,stars,watchings,forks,Languages
Malaria-Detection,,4,133,"['Jupyter', 'Python', 'HTML', 'JavaScript', 'CSS']"
Deep-Learning-Car-Brand,,4,94,"['Jupyter', 'Python', 'HTML', 'JavaScript', 'CSS']"
Image-Webscrapper,,3,21,"['Python', 'CSS', 'HTML']"
Kubernet-Dockers,,3,13,"['CSS', 'HTML', 'Python', 'Dockerfile']"
WaferFaultDetection,,4,21,['Python']
Weather-Chatbot-Using-Luis,,4,31,['Python']
Google-Dialogflow-chatbots,,4,46,"['HTML', 'Python']"
Phising-Classifier,,5,18,"['Jupyter', 'Python']"
AzureDeployment,,3,120,"['CSS', 'HTML', 'Python']"
Test,,3,2,"['CSS', 'Python', 'HTML']"
Google-Cloud-Platform-Deployment,,3,71,"['CSS', 'HTML', 'Python']"
test-endtoend,,3,1,['Python']
test-data-science-project,,3,0,None
SVM-kernel-and-ROC-AUC-Curve,,3,5,['Jupyter']
sensor-fault-detection,,4,2,['Python']
Huggingfacetransformer,,3,81,['Jupyter']
Feature-Engineering-Live-sessions,,27,534,['Jupyter']
Advanced-House-Price-Prediction-,,18,343,['Jupyter']
EDA1,,11,409,['Jupyter']
PysparkRegressions,,4,66,['Jupyter']
MediaPipe,,3,21,['Jupyter']
Media-Pipe,,3,2,None
Data-Analyst-Skill-With-Videos-in-2021,,8,137,None
Deployment-Deep-Learning-Model,,4,113,"['Python', 'HTML', 'JavaScript', 'CSS']"
Django-Series,,3,4,None
stats-sessions,,3,21,None
Image-Segmentation-Using-Pixellib,,3,19,['Python']
Flask-Heroku,,3,4,"['Python', 'HTML']"
Pywebheroku,,3,20,"['Jupyter', 'Python']"
Trnasformer-Bert,,3,71,['Jupyter']
Pyspark-With-Python,,10,560,['Jupyter']
Types-Of-Cross-Validation,,3,58,['Jupyter']
Autoviz,,4,15,['Jupyter']
Autoscrapper,,3,39,"['Jupyter', 'Python']"
Types-Of-Trnasformation,,3,94,['Jupyter']
Custom-object-Detection,,3,3,None
Gradio,,3,7,['Jupyter']
EVALML,,4,28,['Jupyter']
Shapash-,,3,14,['Jupyter']
Car-PricePrediction,,4,12,"['Jupyter', 'Python']"
BMI-Calculator,,3,12,['Python']
PyWebIO,,3,11,"['Jupyter', 'Python']"
Audio-Classification,,6,79,['Jupyter']
texthero,,3,13,['Jupyter']
AQI-Deployment,,3,23,"['HTML', 'CSS', 'Python']"
NLP-Deployment-Heroku,,3,93,"['Python', 'HTML', 'CSS']"
Deployment-Heroku,,3,11,"['CSS', 'Python', 'HTML']"
mlops,,3,8,['Python']
Assignments,,3,4,None
SVM-Kernels,,4,30,['Jupyter']
Face-Recognition-Attendance-Projects,,4,85,['Python']
SHA-Algorithms-Blockchain,,3,4,['Jupyter']
Transfer-Learning,,3,101,['Python']
Pdf-Encryption,,3,9,['Jupyter']
TFOD,,4,21,['Jupyter']
GIMBlockchainDemo,,3,4,['Python']
Competitive-Programming,,5,27,"['Jupyter', 'Python']"
Complete-Deep-Learning,,6,275,"['Jupyter', 'Python']"
Complete-Feature-Selection,,5,170,['Jupyter']
cottoninception,,3,5,['Jupyter']
BlockChainDemo,,3,3,None
AWS,,4,18,['Jupyter']
SpamClassifier,,4,122,['Python']
Movie-Recommender-in-python,,11,203,['Jupyter']
cats-dogs,,4,8,['Jupyter']
Lime-Model-Interpretation,,3,17,['Jupyter']
Ineuron-ANN,,3,16,['Jupyter']
Ineuron-Test,,5,4,['Jupyter']
CPU-Multi-Cores,,3,6,['Jupyter']
FastAPI,,3,79,"['Jupyter', 'Python']"
Cutom-Ensemble-ML,,3,12,['Jupyter']
ImbalancedNeural-Network,,3,10,['Jupyter']
Augmented-Reality,,3,7,None
Julia-Programming-With-MAchine-Learning,,4,6,['Jupyter']
Tomato-Leaf-Disease-Prediction,,4,110,"['Jupyter', 'Python', 'Other']"
NLP-Deployment-Heroku,,3,93,"['Python', 'HTML', 'CSS']"
Deployment-Heroku,,3,11,"['CSS', 'Python', 'HTML']"
mlops,,3,8,['Python']
Assignments,,3,4,None
SVM-Kernels,,4,30,['Jupyter']
Face-Recognition-Attendance-Projects,,4,85,['Python']
SHA-Algorithms-Blockchain,,3,4,['Jupyter']
Transfer-Learning,,3,101,['Python']
Pdf-Encryption,,3,9,['Jupyter']
TFOD,,4,21,['Jupyter']
GIMBlockchainDemo,,3,4,['Python']
Competitive-Programming,,5,27,"['Jupyter', 'Python']"
Complete-Deep-Learning,,6,275,"['Jupyter', 'Python']"
Complete-Feature-Selection,,5,170,['Jupyter']
cottoninception,,3,5,['Jupyter']
BlockChainDemo,,3,3,None
AWS,,4,18,['Jupyter']
SpamClassifier,,4,122,['Python']
Movie-Recommender-in-python,,11,203,['Jupyter']
cats-dogs,,4,8,['Jupyter']
Lime-Model-Interpretation,,3,17,['Jupyter']
Ineuron-ANN,,3,16,['Jupyter']
Ineuron-Test,,5,4,['Jupyter']
CPU-Multi-Cores,,3,6,['Jupyter']
FastAPI,,3,79,"['Jupyter', 'Python']"
Cutom-Ensemble-ML,,3,12,['Jupyter']
ImbalancedNeural-Network,,3,10,['Jupyter']
Augmented-Reality,,3,7,None
Julia-Programming-With-MAchine-Learning,,4,6,['Jupyter']
Tomato-Leaf-Disease-Prediction,,4,110,"['Jupyter', 'Python', 'Other']"
R-Programming-Tutorial,,3,10,"['Jupyter', 'R']"
Banking-Domain,,4,10,['Jupyter']
Streamlit,,3,4,None
Post_Pruning_DecisionTre,,4,33,['Jupyter']
DL-Project-For-Beginner,,3,36,"['Python', 'HTML', 'Jupyter', 'JavaScript', 'CSS']"
Circle_CI_repo,,3,4,"['Python', 'Shell', 'Makefile', 'Dockerfile']"
Time-Series-Forecasting,,3,66,['Jupyter']
EDA_Sweetviz,,6,18,['Jupyter']
VAEX_Big-Data,,3,16,['Jupyter']
Pandas-Profiling-EDA,,3,56,['Jupyter']
K-Nearest-Neighour,,3,105,['Jupyter']
tensorflow,,2,88.7k,"['C', 'Python', 'HTML', 'Starlark', 'MLIR', 'Go', 'Other']"
Stock-Price-Prediction-using-Keras-and-Recurrent-Neural-Networ,,17,184,['Python']
AirLines-Passengers-Forecasting-LSTM,,3,16,['Jupyter']
Pipelines-Using-Sklearn,,5,90,['Jupyter']
Word-Embedding,,4,62,['Jupyter']
InsuranceFraudDetection,,3,59,None
Develop-Multi-Output-Regression-Models,,3,19,['Jupyter']
Anomaly-Pycaret,,3,26,['Jupyter']
Fake-News-Classifier,,3,103,['Jupyter']
PowerBI,,3,14,None
Tableau-datasets,,3,6,None
Multicollinearity,,3,86,['Jupyter']
Deep-Learning-Face-Recognition,,9,76,"['Python', 'Jupyter']"
Amazon-use-cases,,6,10,None
Weather-Visibility-Project,,3,39,None
T-test-an-Correlation-using-python,,8,225,['Jupyter']
Sales-Chatbot,,4,27,['Python']
resume,,3,8,None
R-Programming-Tutorial,,3,10,"['Jupyter', 'R']"
Banking-Domain,,4,10,['Jupyter']
Streamlit,,3,4,None
Post_Pruning_DecisionTre,,4,33,['Jupyter']
DL-Project-For-Beginner,,3,36,"['Python', 'HTML', 'Jupyter', 'JavaScript', 'CSS']"
Circle_CI_repo,,3,4,"['Python', 'Shell', 'Makefile', 'Dockerfile']"
Time-Series-Forecasting,,3,66,['Jupyter']
EDA_Sweetviz,,6,18,['Jupyter']
VAEX_Big-Data,,3,16,['Jupyter']
Pandas-Profiling-EDA,,3,56,['Jupyter']
K-Nearest-Neighour,,3,105,['Jupyter']
tensorflow,,2,88.7k,"['C', 'Python', 'HTML', 'Starlark', 'MLIR', 'Go', 'Other']"
Stock-Price-Prediction-using-Keras-and-Recurrent-Neural-Networ,,17,184,['Python']
AirLines-Passengers-Forecasting-LSTM,,3,16,['Jupyter']
Pipelines-Using-Sklearn,,5,90,['Jupyter']
Word-Embedding,,4,62,['Jupyter']
InsuranceFraudDetection,,3,59,None
Develop-Multi-Output-Regression-Models,,3,19,['Jupyter']
Anomaly-Pycaret,,3,26,['Jupyter']
Fake-News-Classifier,,3,103,['Jupyter']
PowerBI,,3,14,None
Tableau-datasets,,3,6,None
Multicollinearity,,3,86,['Jupyter']
Deep-Learning-Face-Recognition,,9,76,"['Python', 'Jupyter']"
Amazon-use-cases,,6,10,None
Weather-Visibility-Project,,3,39,None
T-test-an-Correlation-using-python,,8,225,['Jupyter']
Sales-Chatbot,,4,27,['Python']
resume,,3,8,None
GAN,,3,19,['Jupyter']
Deep-Learning-in-Medical-Science,,5,19,['Python']
Geographical-Plotting,,3,9,['Jupyter']
sketch_roi,,3,12,['Jupyter']
MLPPTS,,3,7,None
Unlock-Application,,4,26,['Jupyter']
K-NEarest-Neighbor,,3,146,['Jupyter']
RandomizedSearchCV,,5,28,['Python']
GRIDSearchCV,,6,55,['Jupyter']
Predict_customer_Will_Leave_the-Bank,,3,24,['Python']
Dimesnsionality-Reduction,,3,75,['Jupyter']
Multiple-Linear-Regression,,4,217,['Python']
Visualizing_Tree,,3,30,['Jupyter']
AI,,3,12,['Jupyter']
OpenFace,,3,15,"['Jupyter', 'Python']"
FaceRecognition,,3,7,None
Computer-Vision-Advanced,,5,38,['Jupyter']
Computer-Vision-,,3,13,"['Jupyter', 'Python']"
EDA,,5,27,['Jupyter']
Recommendation,,3,6,['Python']
machine_learning_examples,,3,6.1k,['Python']
Machine-Learning-,,3,4,None
model_selections,,3,54,['Jupyter']
Arima,,4,14,['Jupyter']
Principle-Component-Analysis,,4,78,['Jupyter']
Movies-Reviews-Sentiment-Analysis,,3,10,['Python']
Polynomial-Linear-Regression,,5,35,['Python']
DataPreprocess,,4,12,['Python']
Hierarchical-Clutsering,,3,16,['Python']
K-Means-clustering,,5,37,['Python']
Xgboost,,4,41,['Python']
Random-Forest-Regression,,3,21,['Python']
